"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(6.0.0)","BWA.NGDP_RPCH.A","OBS_VALUE","Botswana","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","5.697","-4.851","7.202","4.113","4.19","3.033","-8.726","11.913","5.486","3.208","-2.99"
"IMF.RES:WEO(6.0.0)","BDI.NGDPDPC.A","OBS_VALUE","Burundi","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","273.133","304.243","281.062","291.859","271.289","261.011","260.164","274.353","311.318","327.255","354.838"
"IMF.RES:WEO(6.0.0)","BFA.NGDP_RPCH.A","OBS_VALUE","Burkina Faso","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.327","3.921","5.958","6.203","6.605","5.889","2.011","6.943","1.497","2.96","4.45"
"IMF.RES:WEO(6.0.0)","BGR.LP.A","OBS_VALUE","Bulgaria","Population, Persons for countries / Index for country groups","Annual","Millions","7.202","7.154","7.102","7.05","7.0","6.951","6.917","6.839","6.448","6.445","6.381"
"IMF.RES:WEO(6.0.0)","BFA.LP.A","OBS_VALUE","Burkina Faso","Population, Persons for countries / Index for country groups","Annual","Millions","18.17","18.718","19.275","19.836","20.393","20.952","21.523","22.101","22.674","23.251","23.844"
"IMF.RES:WEO(6.0.0)","CMR.NGDP_RPCH.A","OBS_VALUE","Cameroon","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","5.779","5.6","4.479","3.541","4.022","3.422","0.539","3.039","3.737","3.217","3.562"
"IMF.RES:WEO(6.0.0)","CMR.LP.A","OBS_VALUE","Cameroon","Population, Persons for countries / Index for country groups","Annual","Millions","22.682","23.298","23.927","24.566","25.216","25.876","26.546","27.224","27.912","28.608","29.315"
"IMF.RES:WEO(6.0.0)","CPV.LUR.A","OBS_VALUE","Cabo Verde","Unemployment rate","Annual","Units","15.8","12.4","15.0","12.2","12.2","8.5","8.5","8.5","8.5","8.5","8.5"
"IMF.RES:WEO(6.0.0)","BDI.NGDP_RPCH.A","OBS_VALUE","Burundi","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.241","-3.9","-0.6","0.5","1.61","1.842","0.335","3.119","1.827","2.659","3.531"
"IMF.RES:WEO(6.0.0)","CPV.NGDP_RPCH.A","OBS_VALUE","Cabo Verde","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.697","0.936","4.281","4.551","3.705","6.95","-20.805","7.034","17.439","4.043","5.992"
"IMF.RES:WEO(6.0.0)","BDI.LP.A","OBS_VALUE","Burundi","Population, Persons for countries / Index for country groups","Annual","Millions","9.907","10.204","10.53","10.867","11.193","11.529","11.875","12.231","12.598","12.976","13.365"
"IMF.RES:WEO(6.0.0)","TCD.LP.A","OBS_VALUE","Chad","Population, Persons for countries / Index for country groups","Annual","Millions","13.664","14.111","14.562","15.017","15.478","15.947","16.426","16.915","17.414","17.921","18.437"
"IMF.RES:WEO(6.0.0)","CAF.LP.A","OBS_VALUE","Central African Republic","Population, Persons for countries / Index for country groups","Annual","Millions","4.623","4.629","4.714","4.794","4.879","4.945","5.027","5.112","5.098","5.152","5.331"
"IMF.RES:WEO(6.0.0)","CAF.NGDPDPC.A","OBS_VALUE","Central African Republic","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","410.048","366.36","387.069","432.172","467.286","460.809","475.203","505.68","482.598","505.083","531.056"
"IMF.RES:WEO(6.0.0)","CAN.NGDP_RPCH.A","OBS_VALUE","Canada","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.873","0.65","1.039","3.034","2.743","1.908","-5.038","5.951","4.189","1.529","1.528"
"IMF.RES:WEO(6.0.0)","CAN.GGXWDG_NGDP.A","OBS_VALUE","Canada","Gross debt, General government, Percent of GDP","Annual","Units","85.541","92.029","92.397","90.942","90.776","90.21","118.066","112.617","104.207","107.711","110.769"
"IMF.RES:WEO(6.0.0)","CAN.GGXWDN_NGDP.A","OBS_VALUE","Canada","Net debt, General government, Percent of GDP","Annual","Units","21.691","18.535","18.01","12.684","11.733","8.686","16.282","14.17","13.62","14.441","11.869"
"IMF.RES:WEO(6.0.0)","CAF.NGDP_RPCH.A","OBS_VALUE","Central African Republic","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.08","4.338","4.75","4.528","3.82","2.97","0.959","0.983","0.472","0.727","1.833"
"IMF.RES:WEO(6.0.0)","CPV.LP.A","OBS_VALUE","Cabo Verde","Population, Persons for countries / Index for country groups","Annual","Millions","0.489","0.491","0.493","0.496","0.498","0.5","0.502","0.504","0.507","0.509","0.512"
"IMF.RES:WEO(6.0.0)","COL.NGDP_RPCH.A","OBS_VALUE","Colombia","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.499","2.956","2.087","1.359","2.564","3.187","-7.186","10.801","7.328","0.712","1.744"
"IMF.RES:WEO(6.0.0)","CHL.LUR.A","OBS_VALUE","Chile","Unemployment rate","Annual","Units","6.495","6.328","6.685","6.965","7.377","7.223","10.77","8.862","7.878","8.681","8.462"
"IMF.RES:WEO(6.0.0)","CHL.LP.A","OBS_VALUE","Chile","Population, Persons for countries / Index for country groups","Annual","Millions","17.788","17.971","18.167","18.419","18.751","19.107","19.458","19.678","19.829","19.961","20.086"
"IMF.RES:WEO(6.0.0)","COL.LP.A","OBS_VALUE","Colombia","Population, Persons for countries / Index for country groups","Annual","Millions","45.866","46.314","46.83","47.419","48.258","49.396","50.408","51.117","51.683","52.216","52.696"
"IMF.RES:WEO(6.0.0)","CAN.LUR.A","OBS_VALUE","Canada","Unemployment rate","Annual","Units","7.058","7.0","7.05","6.417","5.833","5.683","9.742","7.483","5.25","5.383","6.375"
"IMF.RES:WEO(6.0.0)","TCD.NGDP_RPCH.A","OBS_VALUE","Chad","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.063","3.311","-4.13","-1.628","5.741","5.389","-0.409","0.294","4.11","4.028","1.515"
"IMF.RES:WEO(6.0.0)","CAN.LP.A","OBS_VALUE","Canada","Population, Persons for countries / Index for country groups","Annual","Millions","35.389","35.676","36.053","36.494","37.009","37.555","37.998","38.221","38.866","39.969","41.144"
"IMF.RES:WEO(6.0.0)","COG.NGDP_RPCH.A","OBS_VALUE","Congo, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","6.717","-3.551","-4.994","-5.595","-2.304","1.124","-6.268","1.057","1.799","1.977","2.596"
"IMF.RES:WEO(6.0.0)","COM.NGDP_RPCH.A","OBS_VALUE","Comoros, Union of the","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.107","1.147","3.32","3.816","3.642","1.761","-0.196","2.0","2.603","2.995","3.338"
"IMF.RES:WEO(6.0.0)","COD.NGDP_RPCH.A","OBS_VALUE","Congo, Democratic Republic of the","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","7.302","6.36","0.394","3.658","4.825","4.485","1.671","1.726","9.22","8.498","6.483"
"IMF.RES:WEO(6.0.0)","COD.LP.A","OBS_VALUE","Congo, Democratic Republic of the","Population, Persons for countries / Index for country groups","Annual","Millions","74.877","77.267","79.801","82.417","85.12","87.911","90.794","93.751","96.801","99.948","103.197"
"IMF.RES:WEO(6.0.0)","COL.LUR.A","OBS_VALUE","Colombia","Unemployment rate","Annual","Units","9.4","9.2","9.533","9.675","9.95","10.867","16.683","13.783","11.192","10.167","10.158"
"IMF.RES:WEO(6.0.0)","CRI.NGDP_RPCH.A","OBS_VALUE","Costa Rica","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.542","3.652","4.204","4.158","2.616","2.418","-4.273","7.936","4.551","5.112","4.321"
"IMF.RES:WEO(6.0.0)","CIV.NGDP_RPCH.A","OBS_VALUE","Côte d'Ivoire","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","8.794","8.843","7.172","7.412","4.842","6.721","0.701","7.062","6.4","6.45","6.0"
"IMF.RES:WEO(6.0.0)","COG.LP.A","OBS_VALUE","Congo, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","4.945","5.064","5.187","5.312","5.441","5.571","5.702","5.836","5.97","6.138","6.309"
"IMF.RES:WEO(6.0.0)","COM.LP.A","OBS_VALUE","Comoros, Union of the","Population, Persons for countries / Index for country groups","Annual","Millions","0.715","0.73","0.746","0.762","0.776","0.791","0.806","0.822","0.851","0.87","0.89"
"IMF.RES:WEO(6.0.0)","CYP.LP.A","OBS_VALUE","Cyprus","Population, Persons for countries / Index for country groups","Annual","Millions","0.858","0.847","0.848","0.855","0.864","0.876","0.888","0.896","0.905","0.926","0.936"
"IMF.RES:WEO(6.0.0)","CYP.NGDP_RPCH.A","OBS_VALUE","Cyprus","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-1.777","3.418","6.574","5.752","6.272","5.877","-3.219","11.385","7.367","2.611","3.43"
"IMF.RES:WEO(6.0.0)","CRI.LUR.A","OBS_VALUE","Costa Rica","Unemployment rate","Annual","Units","9.658","9.604","9.541","9.293","11.951","12.417","19.98","13.68","11.669","7.297","6.878"
"IMF.RES:WEO(6.0.0)","CIV.LP.A","OBS_VALUE","Côte d'Ivoire","Population, Persons for countries / Index for country groups","Annual","Millions","24.126","24.816","25.525","26.255","27.006","27.778","28.572","29.389","30.229","31.094","31.983"
"IMF.RES:WEO(6.0.0)","CRI.LP.A","OBS_VALUE","Costa Rica","Population, Persons for countries / Index for country groups","Annual","Millions","4.793","4.851","4.909","4.966","5.022","5.075","5.128","5.18","5.229","5.278","5.325"
"IMF.RES:WEO(6.0.0)","DMA.NGDP_RPCH.A","OBS_VALUE","Dominica","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.754","-2.732","2.764","-6.619","3.548","5.502","-16.605","6.892","5.584","4.712","4.55"
"IMF.RES:WEO(6.0.0)","DNK.LUR.A","OBS_VALUE","Denmark","Unemployment rate","Annual","Units","4.992","4.542","4.125","4.2","3.85","3.658","4.658","3.608","2.517","2.767","2.9"
"IMF.RES:WEO(6.0.0)","DOM.NGDP_RPCH.A","OBS_VALUE","Dominican Republic","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","7.111","6.988","6.72","3.934","7.104","4.893","-7.929","14.012","5.238","2.192","4.952"
"IMF.RES:WEO(6.0.0)","DNK.LP.A","OBS_VALUE","Denmark","Population, Persons for countries / Index for country groups","Annual","Millions","5.627","5.66","5.707","5.749","5.781","5.806","5.823","5.84","5.873","5.933","5.961"
"IMF.RES:WEO(6.0.0)","DNK.NGDP_RPCH.A","OBS_VALUE","Denmark","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.278","2.101","3.076","3.056","1.859","1.713","-1.781","7.38","1.541","2.495","3.677"
"IMF.RES:WEO(6.0.0)","DOM.LP.A","OBS_VALUE","Dominican Republic","Population, Persons for countries / Index for country groups","Annual","Millions","9.883","9.98","10.075","10.169","10.266","10.358","10.448","10.536","10.622","10.709","10.797"
"IMF.RES:WEO(6.0.0)","ECU.NGDP_RPCH.A","OBS_VALUE","Ecuador","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.226","0.12","-0.688","5.97","1.044","0.165","-9.245","9.422","5.868","1.988","-1.959"
"IMF.RES:WEO(6.0.0)","EGY.NGDP_RPCH.A","OBS_VALUE","Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.93","4.36","4.34","4.19","5.327","5.549","3.576","3.252","6.651","3.76","2.399"
"IMF.RES:WEO(6.0.0)","GNQ.LP.A","OBS_VALUE","Equatorial Guinea, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","1.129","1.175","1.221","1.268","1.314","1.36","1.406","1.452","1.498","1.544","1.59"
"IMF.RES:WEO(6.0.0)","GNQ.GGXWDG_NGDP.A","OBS_VALUE","Equatorial Guinea, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","12.56","31.657","41.139","36.235","40.569","43.189","49.386","42.293","29.759","36.266","36.201"
"IMF.RES:WEO(6.0.0)","SLV.LP.A","OBS_VALUE","El Salvador","Population, Persons for countries / Index for country groups","Annual","Millions","6.21","6.231","6.251","6.267","6.276","6.28","6.293","6.314","6.336","6.365","6.394"
"IMF.RES:WEO(6.0.0)","ECU.LP.A","OBS_VALUE","Ecuador","Population, Persons for countries / Index for country groups","Annual","Millions","15.994","16.269","16.532","16.793","17.078","17.357","17.526","17.614","17.715","17.835","17.967"
"IMF.RES:WEO(6.0.0)","EGY.LP.A","OBS_VALUE","Egypt, Arab Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","86.8","89.0","91.0","95.2","97.1","98.9","100.6","102.1","103.6","105.2","107.304"
"IMF.RES:WEO(6.0.0)","ETH.LP.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","87.0","89.1","91.2","93.4","95.5","97.6","99.7","101.9","104.082","105.707","108.414"
"IMF.RES:WEO(6.0.0)","FJI.NGDP_RPCH.A","OBS_VALUE","Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","5.604","4.501","2.446","5.353","3.812","-0.581","-17.04","-4.881","19.793","7.524","3.663"
"IMF.RES:WEO(6.0.0)","SWZ.LP.A","OBS_VALUE","Eswatini, Kingdom of","Population, Persons for countries / Index for country groups","Annual","Millions","1.071","1.078","1.086","1.093","1.104","1.115","1.127","1.139","1.151","1.163","1.176"
"IMF.RES:WEO(6.0.0)","SWZ.NGDP_RPCH.A","OBS_VALUE","Eswatini, Kingdom of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.923","2.227","1.063","2.027","2.38","2.692","-1.56","10.683","0.476","5.034","3.653"
"IMF.RES:WEO(6.0.0)","FIN.GGXWDG_NGDP.A","OBS_VALUE","Finland","Gross debt, General government, Percent of GDP","Annual","Units","64.813","68.764","68.649","66.581","65.278","65.241","75.415","73.247","74.034","77.302","82.53"
"IMF.RES:WEO(6.0.0)","FRA.LP.A","OBS_VALUE","France","Population, Persons for countries / Index for country groups","Annual","Millions","66.131","66.422","66.603","66.774","66.992","67.258","67.442","67.697","68.06","68.246","68.437"
"IMF.RES:WEO(6.0.0)","FIN.LUR.A","OBS_VALUE","Finland","Unemployment rate","Annual","Units","8.825","9.575","8.975","8.825","7.417","6.725","7.767","7.617","6.783","7.208","8.4"
"IMF.RES:WEO(6.0.0)","FIN.GGXWDN_NGDP.A","OBS_VALUE","Finland","Net debt, General government, Percent of GDP","Annual","Units","17.307","18.581","21.472","22.043","24.633","27.14","33.627","34.607","32.521","34.784","38.569"
"IMF.RES:WEO(6.0.0)","FRA.LUR.A","OBS_VALUE","France","Unemployment rate","Annual","Units","10.267","10.342","10.067","9.408","9.025","8.425","8.025","7.867","7.308","7.342","7.383"
"IMF.RES:WEO(6.0.0)","FRA.NGDP_RPCH.A","OBS_VALUE","France","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.02","0.986","0.728","2.286","1.587","2.076","-7.593","6.827","2.624","1.116","1.067"
"IMF.RES:WEO(6.0.0)","FRA.GGXWDG_NGDP.A","OBS_VALUE","France","Gross debt, General government, Percent of GDP","Annual","Units","96.14","96.943","98.126","98.722","98.49","98.104","114.831","112.703","111.286","109.733","113.105"
"IMF.RES:WEO(6.0.0)","FIN.LP.A","OBS_VALUE","Finland","Population, Persons for countries / Index for country groups","Annual","Millions","5.451","5.472","5.487","5.503","5.513","5.518","5.525","5.534","5.548","5.564","5.604"
"IMF.RES:WEO(6.0.0)","FIN.NGDP_RPCH.A","OBS_VALUE","Finland","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-0.478","0.467","2.572","3.303","1.193","1.35","-2.491","2.676","0.763","-0.947","-0.134"
"IMF.RES:WEO(6.0.0)","GMB.LP.A","OBS_VALUE","Gambia, The","Population, Persons for countries / Index for country groups","Annual","Millions","2.024","2.086","2.149","2.214","2.28","2.349","2.419","2.492","2.567","2.644","2.724"
"IMF.RES:WEO(6.0.0)","GMB.NGDP_RPCH.A","OBS_VALUE","Gambia, The","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-1.407","4.058","1.943","4.823","7.235","6.222","0.591","5.256","5.493","4.798","5.816"
"IMF.RES:WEO(6.0.0)","FJI.LP.A","OBS_VALUE","Fiji, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","0.864","0.868","0.871","0.885","0.89","0.896","0.901","0.906","0.912","0.917","0.923"
"IMF.RES:WEO(6.0.0)","DEU.LUR.A","OBS_VALUE","Germany","Unemployment rate","Annual","Units","4.708","4.367","3.908","3.567","3.208","2.975","3.625","3.575","3.067","3.025","3.408"
"IMF.RES:WEO(6.0.0)","DEU.NGDP_RPCH.A","OBS_VALUE","Germany","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.172","1.656","2.289","2.713","1.116","0.993","-4.1","3.67","1.367","-0.264","-0.232"
"IMF.RES:WEO(6.0.0)","DEU.LP.A","OBS_VALUE","Germany","Population, Persons for countries / Index for country groups","Annual","Millions","80.983","81.687","82.349","82.657","82.906","83.093","83.161","83.196","83.798","84.514","84.716"
"IMF.RES:WEO(6.0.0)","GHA.NGDP_RPCH.A","OBS_VALUE","Ghana","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.856","2.121","3.373","8.129","6.2","6.508","0.514","5.076","3.818","3.128","5.685"
"IMF.RES:WEO(6.0.0)","GAB.LP.A","OBS_VALUE","Gabon","Population, Persons for countries / Index for country groups","Annual","Millions","1.868","1.93","1.98","2.025","2.053","2.08","2.108","2.135","2.161","2.209","2.258"
"IMF.RES:WEO(6.0.0)","GIN.NGDP_RPCH.A","OBS_VALUE","Guinea","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.697","3.826","10.821","10.3","6.358","5.617","4.704","5.583","3.972","6.242","6.073"
"IMF.RES:WEO(6.0.0)","GRC.GGXWDG_NGDP.A","OBS_VALUE","Greece","Gross debt, General government, Percent of GDP","Annual","Units","182.824","180.001","183.675","182.623","189.553","183.691","209.927","197.806","178.441","165.154","150.891"
"IMF.RES:WEO(6.0.0)","GRD.LP.A","OBS_VALUE","Grenada","Population, Persons for countries / Index for country groups","Annual","Millions","0.109","0.11","0.111","0.111","0.112","0.113","0.113","0.114","0.114","0.115","0.116"
"IMF.RES:WEO(6.0.0)","GTM.LP.A","OBS_VALUE","Guatemala","Population, Persons for countries / Index for country groups","Annual","Millions","15.306","15.567","15.828","16.087","16.347","16.604","16.858","17.11","17.358","17.602","17.85"
"IMF.RES:WEO(6.0.0)","GHA.LP.A","OBS_VALUE","Ghana","Population, Persons for countries / Index for country groups","Annual","Millions","28.042","28.696","29.357","30.008","30.638","31.259","31.888","32.519","33.149","33.788","34.427"
"IMF.RES:WEO(6.0.0)","G001.NGDP_RPCH.A","OBS_VALUE","World","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.539","3.439","3.261","3.84","3.653","2.947","-2.667","6.605","3.645","3.493","3.292"
"IMF.RES:WEO(6.0.0)","GRC.LUR.A","OBS_VALUE","Greece","Unemployment rate","Annual","Units","26.5","24.9","23.55","21.45","19.3","17.325","16.325","14.775","12.425","11.075","10.1"
"IMF.RES:WEO(6.0.0)","GRC.LP.A","OBS_VALUE","Greece","Population, Persons for countries / Index for country groups","Annual","Millions","10.927","10.858","10.784","10.768","10.741","10.725","10.719","10.679","10.46","10.414","10.401"
"IMF.RES:WEO(6.0.0)","GUY.NGDP_RPCH.A","OBS_VALUE","Guyana","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.686","0.687","3.807","3.734","4.441","5.353","43.48","20.06","63.334","33.769","43.569"
"IMF.RES:WEO(6.0.0)","GUY.LP.A","OBS_VALUE","Guyana","Population, Persons for countries / Index for country groups","Annual","Millions","0.764","0.767","0.773","0.778","0.782","0.785","0.787","0.789","0.792","0.794","0.796"
"IMF.RES:WEO(6.0.0)","HTI.NGDP_RPCH.A","OBS_VALUE","Haiti","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.723","2.563","1.812","2.51","1.668","-1.685","-3.343","-1.798","-1.682","-1.864","-4.2"
"IMF.RES:WEO(6.0.0)","GNB.LP.A","OBS_VALUE","Guinea-Bissau","Population, Persons for countries / Index for country groups","Annual","Millions","1.593","1.628","1.664","1.7","1.738","1.776","1.815","1.855","1.896","1.937","1.978"
"IMF.RES:WEO(6.0.0)","GRD.NGDP_RPCH.A","OBS_VALUE","Grenada","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","7.342","6.445","3.74","4.439","4.361","0.677","-13.757","4.687","7.321","4.716","3.6"
"IMF.RES:WEO(6.0.0)","HKG.NGDP_RPCH.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.762","2.388","2.175","3.796","2.847","-1.672","-6.545","6.454","-3.684","3.214","2.541"
"IMF.RES:WEO(6.0.0)","HND.LUR.A","OBS_VALUE","Honduras","Unemployment rate","Annual","Units","5.488","6.147","6.727","5.528","5.648","5.386","10.912","8.569","8.9","8.082","8.005"
"IMF.RES:WEO(6.0.0)","HKG.LUR.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Unemployment rate","Annual","Units","3.242","3.3","3.383","3.15","2.808","2.908","5.525","5.408","4.35","2.975","3.0"
"IMF.RES:WEO(6.0.0)","HND.LP.A","OBS_VALUE","Honduras","Population, Persons for countries / Index for country groups","Annual","Millions","8.956","9.113","9.273","9.436","9.602","9.77","9.942","10.117","10.294","10.475","10.659"
"IMF.RES:WEO(6.0.0)","HUN.NGDP_RPCH.A","OBS_VALUE","Hungary","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.334","3.66","2.439","4.124","5.606","5.077","-4.339","7.223","4.27","-0.843","0.512"
"IMF.RES:WEO(6.0.0)","HND.NGDP_RPCH.A","OBS_VALUE","Honduras","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.058","3.84","3.893","4.843","3.845","2.56","-8.965","12.565","4.144","3.583","3.6"
"IMF.RES:WEO(6.0.0)","HUN.LP.A","OBS_VALUE","Hungary","Population, Persons for countries / Index for country groups","Annual","Millions","9.85","9.816","9.78","9.74","9.714","9.7","9.689","9.651","9.61","9.6","9.585"
"IMF.RES:WEO(6.0.0)","HTI.LP.A","OBS_VALUE","Haiti","Population, Persons for countries / Index for country groups","Annual","Millions","10.746","10.912","11.078","11.245","11.412","11.578","11.743","11.906","12.065","12.227","12.391"
"IMF.RES:WEO(6.0.0)","IDN.NGDP_RPCH.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","5.007","4.876","5.033","5.07","5.174","5.019","-2.066","3.703","5.307","5.049","5.03"
"IMF.RES:WEO(6.0.0)","ISL.LUR.A","OBS_VALUE","Iceland","Unemployment rate","Annual","Units","5.508","4.592","3.442","3.3","3.133","3.9","6.267","5.842","3.592","3.375","3.367"
"IMF.RES:WEO(6.0.0)","ISL.LP.A","OBS_VALUE","Iceland","Population, Persons for countries / Index for country groups","Annual","Millions","0.32","0.323","0.326","0.333","0.342","0.349","0.354","0.358","0.365","0.375","0.384"
"IMF.RES:WEO(6.0.0)","IND.NGDP_RPCH.A","OBS_VALUE","India","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","7.41","7.996","8.256","6.795","6.454","3.871","-5.778","9.69","7.609","9.191","6.46"
"IMF.RES:WEO(6.0.0)","HUN.LUR.A","OBS_VALUE","Hungary","Unemployment rate","Annual","Units","7.525","6.625","4.975","4.05","3.575","3.3","4.125","4.05","3.6","4.075","4.475"
"IMF.RES:WEO(6.0.0)","HKG.LP.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Population, Persons for countries / Index for country groups","Annual","Millions","7.253","7.31","7.378","7.415","7.488","7.521","7.427","7.402","7.473","7.528","7.534"
"IMF.RES:WEO(6.0.0)","IRL.NGDP_RPCH.A","OBS_VALUE","Ireland","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","9.336","24.616","1.223","10.049","7.545","5.041","7.158","16.255","8.62","-5.53","1.221"
"IMF.RES:WEO(6.0.0)","IRN.NGDP_RPCH.A","OBS_VALUE","Iran, Islamic Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.985","-1.425","8.815","2.759","-1.838","-3.071","3.33","4.72","3.777","5.045","3.478"
"IMF.RES:WEO(6.0.0)","ISL.NGDP_RPCH.A","OBS_VALUE","Iceland","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.687","4.437","6.304","4.195","4.889","1.861","-6.94","5.033","8.979","5.646","0.517"
"IMF.RES:WEO(6.0.0)","JAM.NGDP_RPCH.A","OBS_VALUE","Jamaica","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.575","0.869","1.498","0.679","1.827","0.97","-9.92","4.601","5.222","2.605","-0.8"
"IMF.RES:WEO(6.0.0)","ITA.NGDP_RPCH.A","OBS_VALUE","Italy","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-0.001","0.886","1.236","1.604","0.827","0.429","-8.868","8.931","4.821","0.715","0.726"
"IMF.RES:WEO(6.0.0)","ISR.LP.A","OBS_VALUE","Israel","Population, Persons for countries / Index for country groups","Annual","Millions","8.212","8.377","8.543","8.71","8.879","9.051","9.214","9.367","9.551","9.845","9.972"
"IMF.RES:WEO(6.0.0)","ISR.LUR.A","OBS_VALUE","Israel","Unemployment rate","Annual","Units","5.9","5.242","4.825","4.225","3.983","3.842","4.308","4.967","3.767","3.45","2.975"
"IMF.RES:WEO(6.0.0)","IRL.LP.A","OBS_VALUE","Ireland","Population, Persons for countries / Index for country groups","Annual","Millions","4.667","4.714","4.781","4.848","4.92","4.996","5.054","5.124","5.243","5.331","5.422"
"IMF.RES:WEO(6.0.0)","ITA.LP.A","OBS_VALUE","Italy","Population, Persons for countries / Index for country groups","Annual","Millions","60.346","60.295","60.164","60.067","59.938","59.817","59.641","59.236","59.03","58.997","58.971"
"IMF.RES:WEO(6.0.0)","ITA.LUR.A","OBS_VALUE","Italy","Unemployment rate","Annual","Units","12.783","12.017","11.717","11.3","10.6","9.908","9.358","9.508","8.125","7.683","6.558"
"IMF.RES:WEO(6.0.0)","IRN.LP.A","OBS_VALUE","Iran, Islamic Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","77.97","78.94","79.926","81.07","82.084","83.075","84.038","84.055","84.904","85.761","86.626"
"IMF.RES:WEO(6.0.0)","IDN.LP.A","OBS_VALUE","Indonesia","Population, Persons for countries / Index for country groups","Annual","Millions","252.165","255.182","258.497","261.356","264.162","266.912","270.204","272.679","275.72","278.696","281.604"
"IMF.RES:WEO(6.0.0)","JOR.LP.A","OBS_VALUE","Jordan","Population, Persons for countries / Index for country groups","Annual","Millions","8.658","9.494","9.965","10.215","10.46","10.699","10.929","11.148","11.286","11.337","11.385"
"IMF.RES:WEO(6.0.0)","JPN.LP.A","OBS_VALUE","Japan","Population, Persons for countries / Index for country groups","Annual","Millions","127.12","126.978","126.96","126.746","126.495","126.221","125.849","125.492","125.063","124.482","123.89"
"IMF.RES:WEO(6.0.0)","JPN.NGDP_RPCH.A","OBS_VALUE","Japan","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.296","1.561","0.754","1.675","0.643","-0.402","-4.169","2.697","0.935","1.486","0.084"
"IMF.RES:WEO(6.0.0)","JPN.GGXWDN_NGDP.A","OBS_VALUE","Japan","Net debt, General government, Percent of GDP","Annual","Units","144.937","144.447","149.496","148.072","151.144","151.624","161.958","156.025","149.521","136.04","134.608"
